numenq,sch_lev,farm_f,trad_f,exec_f,tech_f,whc_f,blc_f,noocc_f,farm_m,trad_m,exec_m,tech_m,whc_m,blc_m,noocc_m,orfr,oroecd,orother,foreign,late6,urban,male,age98,date_first,full_first,wage_first,employed_36,full_36,wage_36,experience_36,employed_60,full_60,wage_60,experience_60
a03204,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,20,16,1,1071,1,1,995,14,1,1,995,38
b18174,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,20,11,1,869,1,1,787,25,1,1,787,49
517045,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,22,3,1,884,1,1,1128,33,1,1,1225,57
c07916,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,20,8,1,933,1,1,2000,20,1,1,2000,44
c09162,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,20,7,1,810,1,1,810,29,1,1,1220,53
802335,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,22,9,1,871,1,1,991,27,1,1,1448,51
b06383,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,21,7,1,1067,1,1,1067,29,1,1,1164,53
221103,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,19,11,1,952,1,1,1322,25,1,1,1322,49
208332,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,20,7,1,1040,1,1,996,29,1,1,1181,45
206629,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,20,7,1,838,1,1,1149,17,1,1,1410,40
209934,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,22,19,1,871,1,1,1067,17,1,1,1067,41
302087,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,19,9,1,1044,1,1,1322,27,1,1,1931,51
219341,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,20,9,1,980,1,1,1067,27,1,1,1020,51
b09266,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,22,8,1,1067,1,1,1408,28,1,1,1575,52
a04249,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,21,10,0,1083,1,1,1083,26,1,1,1083,50
c07335,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,19,7,1,1220,1,1,1220,29,1,1,945,53
216474,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,21,7,1,854,1,1,1040,19,1,1,1040,43
209470,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,20,7,1,610,1,1,1100,29,1,1,1100,53
a00855,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,20,9,1,808,1,1,915,27,1,1,1067,51
207291,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,19,10,1,991,1,1,1369,26,1,1,1404,45
214658,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,19,7,1,1067,1,1,1517,28,1,1,1517,52
a05582,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,21,10,1,810,1,1,810,22,1,1,787,24
802135,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,23,10,1,991,1,1,1258,24,1,1,1258,48
506488,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,23,10,1,1098,1,1,1275,24,1,1,1275,48
220293,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,19,8,1,1220,1,1,1322,27,1,1,1829,51
319813,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,19,8,1,1010,1,1,1295,28,1,1,1295,52
c06276,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,21,18,1,991,1,1,991,18,1,1,915,42
205157,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,19,7,1,1124,1,1,2005,29,1,1,2005,53
b03006,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,22,21,1,838,1,1,1098,15,1,1,1200,38
507164,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,21,3,1,963,1,1,1143,24,1,1,1143,48
205031,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,22,5,1,915,1,1,1530,20,1,1,1006,40
c13795,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,19,7,0,800,1,1,800,29,1,1,800,53
517744,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,19,6,1,1111,1,1,1143,30,1,1,1143,54
319876,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,20,13,1,838,1,1,1238,23,1,1,1238,47
221388,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,19,19,1,1021,1,1,960,16,1,1,960,40
306213,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,20,7,1,1321,1,1,1220,29,1,1,1752,53
d01833,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,23,13,1,1067,1,1,1250,20,1,1,1250,44
218408,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,19,7,1,915,1,1,1225,29,1,1,1225,53
216881,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,19,13,1,1067,1,1,1067,23,1,1,1098,46
315346,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,22,19,1,838,1,1,915,17,1,1,1067,41
219727,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,20,34,1,810,1,1,810,2,1,1,1220,22
202517,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,20,7,1,810,1,1,940,24,1,1,940,48
304425,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,22,7,1,1143,1,1,1215,29,1,1,1215,53
b08887,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,20,9,1,1008,1,1,1409,27,1,1,1409,51
219238,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,19,8,1,963,1,1,1143,28,1,1,1220,49
505581,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,20,10,1,1239,1,1,1250,26,1,1,1250,50
505942,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,22,10,1,1143,1,1,1300,26,1,1,1300,50
206385,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,20,10,1,838,1,1,1014,14,1,1,1169,38
403123,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,24,6,1,915,1,1,1474,30,1,1,1474,54
405437,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,22,7,0,1563,1,1,1563,29,1,1,1563,53
c01911,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,23,14,1,1067,1,1,1220,22,1,1,1220,46
a04793,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,22,7,1,869,1,1,787,29,1,1,787,53
d02309,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,24,7,1,1342,1,1,1653,18,1,1,1156,40
a00608,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,21,8,1,1160,1,1,1354,28,1,1,2250,52
318643,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,23,23,1,1222,1,1,1322,13,1,1,1322,37
a05165,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,25,17,0,1000,1,1,1000,19,1,1,1000,43
b03593,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,22,7,1,1601,1,1,2592,29,1,1,2592,53
d01144,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,21,16,1,1465,1,1,1219,20,1,1,1219,44
407416,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,21,9,1,799,1,1,910,20,1,1,915,33
611592,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,21,13,1,1651,1,1,1524,20,1,1,1200,38
c01109,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,25,25,1,854,1,1,900,11,1,1,900,35
a03929,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,24,10,1,991,1,1,1300,15,1,1,1300,39
608053,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,23,3,1,917,1,1,1200,33,1,1,1200,57
c02608,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,22,17,1,1982,1,1,1467,19,1,1,1683,43
600188,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,22,7,1,838,1,1,1052,29,1,1,1052,53
802306,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,22,7,1,1067,1,1,1037,29,1,1,1330,53
300592,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,22,12,1,871,1,1,1143,24,1,1,1314,48
305738,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,23,13,1,912,1,1,899,12,1,1,945,35
d03150,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,23,8,1,810,1,1,915,28,1,1,1143,52
c04858,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,22,7,1,810,1,1,1067,29,1,1,1000,53
d05597,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,19,7,0,1300,1,1,1300,29,1,1,1300,53
607830,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,21,13,1,809,1,1,900,23,1,1,900,47
b18048,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,21,7,1,838,1,1,964,29,1,1,964,53
c02065,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,21,21,1,1098,1,1,1250,15,1,1,1250,39
608193,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,24,7,1,1143,1,1,1784,29,1,1,1784,53
404894,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,23,7,1,931,1,1,1416,29,1,1,1377,42
b12519,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,22,7,1,915,1,1,1174,27,1,1,1174,51
c02097,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,20,9,1,810,1,1,900,27,1,1,900,51
611169,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,20,5,1,579,1,1,1042,31,1,1,1024,53
d07231,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,23,7,1,991,1,1,1600,29,1,1,1600,53
603734,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,23,7,1,808,1,1,1363,29,1,1,1363,53
d07620,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,22,6,1,1073,1,1,924,26,1,1,924,50
c04050,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,22,7,1,1261,1,1,1100,11,1,1,1100,35
410058,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,22,6,1,810,1,1,827,14,1,1,1133,38
c00971,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,21,22,1,915,1,1,945,14,1,1,1296,37
611890,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,21,4,1,681,1,1,899,32,1,1,1089,56
612647,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,19,5,1,396,1,1,1140,31,1,1,1140,55
410309,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,20,11,1,1317,1,1,945,25,1,1,945,49
305020,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,26,9,1,1372,1,1,1524,27,1,1,1829,44
406486,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,23,7,1,810,1,1,1105,29,1,1,1105,53
407749,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,22,7,0,975,1,1,975,29,1,1,975,53
608612,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,24,3,1,793,1,1,787,33,1,1,1625,57
a04094,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,21,4,1,869,1,1,1018,32,1,1,1018,56
403663,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,22,7,1,805,1,1,1475,17,1,1,1475,41
607725,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,27,7,1,1093,1,1,1566,29,1,1,1566,53
c02685,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,22,5,1,810,1,1,1250,25,1,1,1250,49
c03780,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,22,7,1,810,1,1,2230,29,1,1,2230,53
a02883,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,23,6,1,877,1,1,1322,30,1,1,1322,54
b16957,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,22,13,1,668,1,1,743,23,1,1,743,47
406724,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,23,10,1,391,1,,1829,26,1,1,1325,49
610351,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,25,7,1,2134,1,1,2432,29,1,1,3836,53
c03330,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,22,13,0,1509,1,1,1509,23,1,1,1509,47
c01961,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,22,34,1,1056,1,1,1083,2,1,1,1083,26
605854,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,22,11,1,1131,1,1,1219,17,1,1,1219,41
404568,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,,0,20,11,1,810,1,0,686,16,1,0,686,40
602611,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,26,13,1,762,1,1,1283,23,1,1,1283,47
a00129,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,20,23,1,1160,1,1,966,10,1,1,966,34
406291,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,23,7,1,910,1,1,1074,29,1,1,1074,53
406953,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,22,10,1,963,1,1,815,26,1,1,1272,49
311001,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,24,17,1,869,1,1,1159,9,1,1,1159,33
312189,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,20,6,0,1092,1,1,1092,30,1,1,1092,54
401697,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,23,11,1,838,1,1,1111,14,1,1,1143,38
d06215,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,26,8,1,1383,1,1,248,28,1,1,248,52
a05205,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,20,19,1,810,1,1,1367,17,1,1,1367,41
406211,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,21,6,1,1407,1,1,1400,30,1,1,1400,54
c03565,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,20,2,1,1270,1,1,1817,34,1,1,1817,58
603746,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,24,14,1,896,1,1,980,22,1,1,980,46
409596,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,21,6,1,1239,1,1,1564,20,1,1,1564,44
606857,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,24,16,1,1001,1,1,1275,20,1,1,1275,44
613708,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,22,16,0,1038,1,1,1038,20,1,1,1038,44
609859,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,21,7,1,915,1,1,1000,29,1,1,1000,53
d06913,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,21,7,1,1004,1,1,1100,29,1,1,1100,53
c01579,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,20,11,1,991,1,1,1423,25,1,1,1423,49
400328,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,23,7,1,1143,1,1,991,29,1,1,991,53
603589,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,22,7,1,915,1,1,1300,29,1,1,1300,53
401768,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,21,9,1,1111,1,1,976,27,1,1,976,51
409383,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,21,7,1,1001,1,1,1858,17,1,1,1858,41
604952,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,19,3,1,1098,1,1,1722,33,1,1,1722,57
a02685,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,22,4,1,1174,1,1,1457,32,1,1,1457,56
c02533,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,24,10,1,241,1,1,1039,26,1,1,1677,50
b15326,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,21,7,1,1261,1,1,960,29,1,1,1191,53
a02587,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,21,7,1,838,1,1,838,29,1,1,1150,53
600355,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,20,13,1,823,1,1,1267,16,1,1,1267,40
305031,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,23,13,0,1791,1,1,1791,23,1,1,1791,47
608030,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,22,21,1,991,1,1,1614,15,1,1,1614,39
d09054,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,19,6,1,995,1,1,915,29,1,1,1331,53
408299,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,21,10,1,1601,1,1,1242,26,1,1,1242,50
405040,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,20,7,1,732,1,1,1138,29,1,1,1138,53
408478,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,22,31,1,991,1,1,1100,5,1,1,1150,29
800464,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,24,7,1,945,1,1,1162,23,1,1,1162,47
405581,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,21,35,1,884,1,1,787,1,1,1,975,25
409432,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,23,21,1,1090,1,1,1090,15,1,1,1200,39
603930,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,22,9,0,976,1,1,976,27,1,1,976,51
314490,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,21,13,1,1261,1,1,1550,23,1,1,1550,47
411683,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,22,7,1,1098,1,1,1400,29,1,1,1400,53
400646,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,23,28,1,1090,1,1,1206,8,1,1,1206,32
c03249,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,24,13,1,872,1,1,883,23,1,1,883,47
604410,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,23,24,1,1588,1,1,1956,12,1,1,2200,36
411452,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,22,14,1,854,1,1,993,22,1,1,993,46
600779,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,21,13,1,854,1,1,1191,13,1,1,1191,37
d00096,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,24,6,1,809,1,1,930,30,1,1,930,54
406244,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,21,32,1,945,1,1,1236,4,1,1,1236,28
507504,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,23,13,1,1265,1,1,1500,23,1,1,1500,47
401915,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,20,28,1,1067,1,1,1683,8,1,1,1683,32
509619,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,24,13,1,1448,1,1,1651,23,1,1,1736,47
402296,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,20,10,1,1189,1,1,1220,26,1,1,1354,50
505501,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,24,21,1,595,1,1,1208,15,1,1,1208,39
512509,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,23,12,1,2134,1,1,2287,24,1,1,2287,48
507291,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,23,16,1,1337,1,1,1727,20,1,1,1727,44
409997,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,23,7,1,991,1,1,1601,28,1,1,1625,52
407289,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,22,7,1,823,1,1,1296,14,1,1,1833,38
501417,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,30,16,0,1289,1,1,1289,20,1,1,1289,44
409073,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,23,23,1,1356,1,1,1908,13,1,1,1908,37
411364,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,20,14,1,996,1,1,991,22,1,1,991,46
a03893,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,22,11,1,915,1,1,1192,25,1,1,1513,49
506260,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,34,10,0,1403,1,1,1403,26,1,1,1403,50
402652,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,22,8,1,1111,1,1,1158,28,1,1,1158,52
402624,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,23,7,1,1679,1,1,2005,29,1,1,2005,53
407394,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,20,11,1,928,1,1,1017,25,1,1,1017,49
402770,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,21,11,1,1113,1,1,1418,25,1,1,1418,49
513426,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,21,13,1,1372,1,1,1530,23,1,1,1605,47
c03524,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,22,5,1,915,1,1,1083,26,1,1,1083,50
400951,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,21,10,1,963,1,1,980,22,1,1,1404,46
507923,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,22,15,1,1342,1,1,1557,21,1,1,1557,45
401140,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,21,7,1,810,1,1,1326,29,1,1,1326,53
511955,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,25,7,1,915,1,1,787,23,1,1,787,47
301937,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,23,8,1,1024,1,1,1083,28,1,1,1083,52
515785,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,23,24,1,1372,1,1,1372,12,1,1,1867,36
411523,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,23,21,1,854,1,1,1220,15,1,1,1219,35
a01486,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,23,9,0,1418,1,1,1418,27,1,1,1418,51
401371,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,22,7,1,1042,1,1,1219,29,1,1,1219,53
406539,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,20,7,1,930,1,1,503,29,1,1,1753,49
c03487,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,21,8,1,877,1,1,1569,28,1,1,1569,52
515293,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,22,12,1,1261,1,0,1261,24,1,0,1261,48
402967,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,22,7,1,1160,1,1,1174,19,1,1,915,39
509499,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,23,12,1,1342,1,1,1685,24,1,1,1685,48
409777,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,22,8,1,1261,1,1,1524,28,1,1,2592,52
513374,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,21,13,1,1265,1,1,1592,23,1,1,1592,47
